Age,Gender,Education Level,Marital Status,Tenure,Job Role,Department,Salary,Work Location,Performance Rating,Projects Completed,Training Hours,Promotions,Overtime Hours,Satisfaction Level,Work-Life Balance,Average Monthly Hours Worked,Absenteeism,Distance from Home,Manager Feedback Score,Churn
50,male,bachelor's,married,5,analyst,marketing,93422,remote,5,37,35,0,16,0.03,poor,155,14,15,7.9,0
36,male,bachelor's,married,4,manager,sales,44589,on-site,2,43,1,0,12,0.39,average,162,2,8,5.2,0
29,male,bachelor's,married,3,sales,it,56768,hybrid,1,38,41,0,2,0.62,poor,243,6,21,6.3,0
42,male,bachelor's,single,12,analyst,sales,79009,on-site,1,39,33,0,8,0.73,good,291,11,25,7.4,0
40,other,bachelor's,married,1,sales,hr,81982,on-site,3,49,30,0,13,0.52,average,272,3,1,4.1,0
44,male,bachelor's,single,12,developer,hr,82669,on-site,2,4,68,0,2,0.06,average,266,4,40,2.1,0
32,male,high school,married,12,analyst,marketing,127951,on-site,1,37,19,0,35,0.76,average,233,10,10,4.9,0
32,male,master's,single,6,manager,sales,93655,remote,1,48,37,0,19,0.39,average,204,1,14,7.3,0
45,female,master's,single,4,analyst,sales,69050,remote,3,12,74,0,45,0.18,excellent,162,15,36,4.9,1
57,male,high school,married,12,developer,marketing,106153,hybrid,3,14,94,0,17,0.26,good,151,19,27,4.7,0
45,female,master's,married,2,developer,it,79420,remote,4,3,88,0,0,0.67,average,275,6,19,6.8,0
24,female,master's,married,5,sales,it,104064,on-site,4,37,3,0,19,0.2,good,156,17,2,1.1,0
43,male,high school,divorced,7,manager,hr,149835,on-site,4,30,84,0,28,0.09,average,171,5,4,7.0,0
23,male,bachelor's,single,10,manager,sales,74784,on-site,4,29,61,0,23,0.62,good,205,13,24,1.5,0
45,male,bachelor's,married,9,manager,sales,110337,hybrid,2,1,0,0,31,0.65,average,253,0,36,10.0,0
51,female,bachelor's,married,9,analyst,sales,68043,on-site,2,6,41,0,18,0.45,average,229,1,3,1.1,0
59,male,master's,married,11,developer,hr,45279,on-site,5,8,50,0,4,0.51,average,274,13,11,6.0,0
23,male,bachelor's,married,1,manager,sales,41702,on-site,5,28,36,0,24,0.83,average,298,15,27,8.9,0
42,male,high school,married,10,developer,sales,135487,on-site,4,29,42,0,23,0.34,average,200,11,4,8.1,0
54,female,phd,married,9,analyst,it,68691,on-site,4,18,91,0,39,0.86,average,195,6,38,7.0,0
33,male,bachelor's,married,11,analyst,it,33824,remote,2,21,61,0,27,0.87,average,212,13,43,1.6,0
43,male,master's,divorced,3,developer,sales,63959,on-site,4,48,50,0,38,0.51,good,260,16,21,5.3,0
46,female,high school,single,2,developer,sales,135363,on-site,4,35,52,0,25,0.02,good,198,4,14,7.7,0
48,female,bachelor's,married,6,analyst,hr,140822,on-site,2,2,0,1,26,0.92,average,269,16,19,7.2,0
49,female,bachelor's,divorced,9,developer,it,44938,remote,1,29,63,0,15,0.14,poor,295,18,9,6.9,0
37,male,high school,married,7,analyst,it,109079,on-site,2,36,15,0,10,0.53,poor,165,17,47,7.0,1
36,female,bachelor's,married,7,developer,sales,79504,on-site,4,15,1,0,26,0.67,excellent,244,9,35,8.4,1
24,female,high school,single,13,sales,marketing,98097,on-site,2,1,1,0,27,0.1,average,242,19,47,7.4,0
58,male,bachelor's,single,3,developer,marketing,79356,on-site,5,40,57,0,39,0.75,average,164,5,21,2.7,0
28,female,bachelor's,married,14,analyst,hr,66097,on-site,1,10,16,0,5,0.61,good,278,5,6,3.2,0
42,male,high school,single,14,developer,sales,80938,hybrid,1,46,85,0,44,0.67,average,237,4,36,2.5,0
30,female,master's,married,9,developer,it,97967,on-site,1,27,79,0,42,0.15,average,231,1,39,4.0,0
39,male,high school,married,1,analyst,sales,82580,remote,2,28,76,0,14,0.27,poor,202,4,5,6.5,0
25,female,bachelor's,single,5,developer,hr,114292,remote,5,26,6,0,0,0.3,poor,257,19,23,7.3,0
46,male,bachelor's,single,14,analyst,sales,32117,on-site,3,44,61,0,35,0.15,average,193,13,33,3.1,0
35,female,bachelor's,married,2,developer,it,30561,on-site,5,5,16,0,16,0.57,average,200,5,20,5.0,0
30,male,bachelor's,single,7,analyst,sales,130191,remote,5,37,20,0,7,0.08,poor,246,7,36,3.7,1
47,female,high school,married,2,sales,hr,34271,on-site,4,17,94,0,23,0.26,average,282,0,33,4.1,0
23,female,master's,married,1,developer,it,36654,on-site,5,39,78,0,38,0.76,average,232,19,41,5.0,1
41,male,bachelor's,single,12,analyst,it,45511,on-site,2,4,63,0,49,0.24,good,171,10,1,9.1,0
49,female,high school,single,12,analyst,it,88064,on-site,1,9,42,0,22,0.19,good,239,13,12,3.4,0
28,other,bachelor's,married,8,analyst,hr,128696,remote,5,21,86,0,34,0.14,average,284,6,21,9.8,0
29,male,master's,single,8,manager,it,63012,on-site,5,40,52,0,47,0.62,average,179,11,46,4.2,0
56,male,bachelor's,married,8,manager,hr,57769,on-site,3,23,40,0,43,0.45,average,267,7,43,2.0,0
35,female,high school,divorced,2,analyst,sales,74199,on-site,3,6,25,0,25,0.22,average,295,17,45,5.2,0
38,male,bachelor's,married,1,analyst,marketing,51415,remote,4,32,93,0,10,0.2,good,211,2,44,6.6,0
57,male,bachelor's,single,13,analyst,it,38321,on-site,3,11,74,0,27,0.99,average,279,0,31,1.9,0
25,male,bachelor's,married,13,manager,it,53112,hybrid,4,16,25,0,5,0.07,average,183,8,39,3.2,0
23,male,master's,married,3,developer,it,42165,on-site,2,35,69,0,36,0.74,average,173,3,34,3.2,0
27,male,bachelor's,married,1,manager,it,56258,remote,1,33,66,1,24,0.92,good,260,10,9,3.5,0
25,male,bachelor's,married,7,analyst,sales,83856,on-site,3,19,88,0,9,0.45,poor,287,8,17,1.6,0
50,female,master's,married,9,manager,hr,70824,on-site,2,49,78,1,32,0.48,poor,259,1,21,3.6,0
39,female,bachelor's,single,0,developer,sales,147778,remote,1,14,58,0,46,0.85,poor,284,10,36,3.4,1
47,male,bachelor's,married,1,manager,it,92112,on-site,2,8,20,0,42,0.01,excellent,242,14,27,4.5,1
55,female,bachelor's,married,5,analyst,sales,126116,hybrid,2,15,41,0,24,0.19,average,251,13,11,9.9,0
31,female,bachelor's,married,8,analyst,marketing,108327,remote,2,7,69,0,0,0.71,good,269,7,15,3.2,0
57,female,bachelor's,single,9,manager,hr,116764,on-site,2,22,22,1,13,0.51,poor,191,18,37,6.2,0
35,male,bachelor's,single,11,analyst,marketing,48236,remote,3,43,56,0,10,0.97,good,160,4,30,4.5,0
52,male,phd,divorced,4,analyst,it,40781,on-site,5,6,52,0,25,0.21,poor,205,9,39,6.4,1
36,female,master's,single,4,developer,it,37142,on-site,2,27,75,0,38,0.89,average,207,9,37,7.3,0
29,female,master's,single,2,developer,marketing,125348,on-site,1,30,26,0,3,1.0,average,265,8,10,8.0,0
35,female,bachelor's,married,7,sales,sales,53741,remote,3,39,61,1,13,0.0,poor,299,5,3,9.7,0
