feature,importance
Salary,0.08578623059131552
Satisfaction Level,0.07832058859488551
Average Monthly Hours Worked,0.07802065290746664
Training Hours,0.07648751130294092
Manager Feedback Score,0.07541614501674222
Distance from Home,0.06932687113900683
Overtime Hours,0.06900559001461361
Age,0.0681747240465304
Projects Completed,0.06783833640876025
Absenteeism,0.059075765293252674
Tenure,0.053465766345810246
Performance Rating,0.034339019255608755
Job Role_developer,0.013633917530206366
Gender_male,0.013552093023272515
Department_it,0.01222168826925406
Marital Status_married,0.011956506085658009
Department_sales,0.011877132160177616
Marital Status_single,0.011589153105762822
Work Location_on-site,0.011584240078819814
Education Level_master's,0.01156094204984525
Education Level_high school,0.010702738755232881
Work-Life Balance_poor,0.01058570481852129
Work-Life Balance_good,0.010400296451187847
Job Role_manager,0.010172180415665541
Work Location_remote,0.009820908926888645
Job Role_sales,0.007763981867542631
Promotions,0.006988145596950551
Department_marketing,0.006985959388439247
Work-Life Balance_excellent,0.005917382587960806
Education Level_phd,0.00554184005313697
